Recipient Name,Award Amount,Careers Search
"SUGPIAT DEFENSE, LLC",551441.3200000001,https://www.google.com/search?q=SUGPIAT%20DEFENSE%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
SERVICESOURCE INC,517675.51,https://www.google.com/search?q=SERVICESOURCE%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"LEIDOS, INC.",500000.0,https://www.google.com/search?q=LEIDOS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
WSP USA ENVIRONMENT & INFRASTRUCTURE INC.,493597.29,https://www.google.com/search?q=WSP%20USA%20ENVIRONMENT%20%26%20INFRASTRUCTURE%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
MEC DISTRIBUTION LLC,488639.49,https://www.google.com/search?q=MEC%20DISTRIBUTION%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"MG FACILITY SERVICES, LLC",488602.3,https://www.google.com/search?q=MG%20FACILITY%20SERVICES%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
JACOBS ENGINEERING GROUP INC.,486279.45,https://www.google.com/search?q=JACOBS%20ENGINEERING%20GROUP%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
SCIENTIFIC CONSULTING GROUP INC,485101.82,https://www.google.com/search?q=SCIENTIFIC%20CONSULTING%20GROUP%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
UNITED PARCEL SERVICE CO.,462963.15,https://www.google.com/search?q=UNITED%20PARCEL%20SERVICE%20CO.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"ATIGUN GROUP, INC.",455382.8,https://www.google.com/search?q=ATIGUN%20GROUP%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"S&K MISSION SUPPORT, LLC",454004.54,https://www.google.com/search?q=S%26K%20MISSION%20SUPPORT%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
