Recipient Name,Award Amount,Careers Search
"ASRC FEDERAL TECHNOLOGY SOLUTIONS, LLC",5135790.0,https://www.google.com/search?q=ASRC%20FEDERAL%20TECHNOLOGY%20SOLUTIONS%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ELSEVIER INC.,5084058.36,https://www.google.com/search?q=ELSEVIER%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
POTOMAC ELECTRIC POWER CO,5005479.94,https://www.google.com/search?q=POTOMAC%20ELECTRIC%20POWER%20CO%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"NATIONAL CAPITOL CONTRACTING, LLC",4959710.59,https://www.google.com/search?q=NATIONAL%20CAPITOL%20CONTRACTING%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
HIGHRISE CONSULTING INC,4950000.19,https://www.google.com/search?q=HIGHRISE%20CONSULTING%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
AKIMA FACILITIES OPERATIONS LLC,4734454.17,https://www.google.com/search?q=AKIMA%20FACILITIES%20OPERATIONS%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"AIRPORT METRO CONNECTION, INC",4568437.2,https://www.google.com/search?q=AIRPORT%20METRO%20CONNECTION%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ASTRIX TECHNOLOGY LLC,4398147.04,https://www.google.com/search?q=ASTRIX%20TECHNOLOGY%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ALPHA GENESIS INC,4327597.0,https://www.google.com/search?q=ALPHA%20GENESIS%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"HANA TECHNOLOGIES & SYSTEMS, INC.",4245775.5,https://www.google.com/search?q=HANA%20TECHNOLOGIES%20%26%20SYSTEMS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
ESIMPLICITY INC,4209657.6,https://www.google.com/search?q=ESIMPLICITY%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"FCN, INC.",4045028.22,https://www.google.com/search?q=FCN%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
WASHINGTON GAS LIGHT COMPANY,3971624.52,https://www.google.com/search?q=WASHINGTON%20GAS%20LIGHT%20COMPANY%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
RELI GROUP INC,3957776.39,https://www.google.com/search?q=RELI%20GROUP%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
REVAGENIX INC,3947638.0,https://www.google.com/search?q=REVAGENIX%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"USGBF NCI, LLC",3870876.12,https://www.google.com/search?q=USGBF%20NCI%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
